S.No,City,2019,2020,2021,Population,RateofCognizableCrimes,ChargesSheetingRate,Total IPC 2019-2021 Cognizible
1,Agra,6510,6285,5665,17.5,324.5,58,18460
2,Allahabad,5621,5455,4130,12.2,339.4,68.2,15206
3,Amritsar,2589,3178,3349,11.8,282.9,54.8,9116
4,Asansol,4244,4335,4864,12.4,391.3,95.8,13443
5,Aurangabad,5636,6248,7366,11.9,619.5,82.6,19250
6,Bhopal,15367,18329,18831,18.8,1000.1,88.3,52527
7,Chandigarh City,2819,2583,2401,10.3,234,67.7,7803
8,Dhanbad,2102,2801,2508,11.9,209.9,36,7411
9,Durg-Bhilainagar,5334,5199,5454,10.6,512.6,85.1,15987
10,Faridabad,11717,9313,9771,14.1,695.4,56.8,30801
11,Gwalior,9192,8920,10043,11,911.3,75,28155
12,Jabalpur,7927,8707,12200,12.7,962.1,92.5,28834
13,Jamshedpur,2831,2828,2965,13.4,221.8,60.4,8624
14,Jodhpur,7597,5860,6882,11.4,604.7,47.6,20339
15,Kannur,1534,1241,3034,16.4,184.7,90.7,5809
16,Kollam,7272,7089,5113,11.1,460.6,85.1,19474
17,Kota,5718,4454,4717,10,471.2,52.9,14889
18,Ludhiana,5230,4808,5706,16.1,353.5,59.2,15744
19,Madurai,3653,16196,6277,14.6,429.3,10,26126
20,Malappuram,2086,1883,2016,17,118.7,90.7,5985
21,Meerut,6500,7477,5501,14.3,386,70.1,19478
22,Nasik,6025,4641,3032,15.6,194,65.6,13698
23,Raipur,6001,5992,5910,11.2,526.3,76.6,17903
24,Rajkot,2226,24140,32104,13.9,2308,99.3,58470
25,Ranchi,3753,3443,3705,11.3,328.7,80.7,10901
26,Srinagar,2215,2585,2833,12.7,222.5,76.3,7633
27,Thiruvananthapuram,22248,11862,5707,16.9,338.3,95.5,39817
28,Thrissur,6615,6606,7131,18.5,384.4,89.8,20352
29,Tiruchirapalli,2387,7258,2604,10.2,254.8,82.3,12249
30,Vadodara,4521,13517,8181,18.2,450.2,91.9,26219
31,Varanasi,6989,5746,5720,14.4,398.6,76.6,18455
32,Vasai Virar,4617,4143,5132,12.2,420.3,52.2,13892
33,Vijayawada,6206,8352,9710,14.9,651.2,94.9,24268
34,Vishakhapatnam,6329,11418,11590,17.3,669.9,93.3,29337
