S.No,State/UT,Name,2019,2020,2021,midPopulation,RateofCognizableCrimes,ChargesSheetingRate,Total IPC 2019-2021 
1,State,Andhra Pradesh,119229,188997,179611,528.5,339.9,92.9,487837
2,State,Arunachal Pradesh,2590,2244,2626,15.4,170.9,51.7,7460
3,State,Assam,123512,111558,119883,351.6,341,38.2,354953
4,State,Bihar,197935,194698,186006,1237,150.4,70.5,578639
5,State,Chhattisgarh,61256,65216,70519,296.1,238.2,80.2,196991
6,State,Goa,2465,3393,2099,15.6,134.5,73.5,7957
7,State,Gujarat,139503,381849,273056,700.8,389.7,95.9,794408
8,State,Haryana,111323,103276,112720,296,380.8,49.1,327319
9,State,Himachal Pradesh,14480,14803,13041,74.1,176.1,83.9,42324
10,State,Jharkhand,50048,51033,47684,386.4,123.4,67.5,148765
11,State,Karnataka,120165,106350,115728,669.9,172.8,78.9,342243
12,State,Kerala,175810,149099,142643,355.4,401.4,91.8,467552
13,State,Madhya Pradesh,246470,283881,304066,848.6,358.3,87.3,834417
14,State,Maharashtra,341084,394017,367218,1247.6,294.3,76.4,1102319
15,State,Manipur,2830,2349,2484,31.7,78.3,14.8,7663
16,State,Meghalaya,3125,2871,2672,33,81.1,32.2,8668
17,State,Mizoram,2379,1787,2467,12.2,202.4,69,6633
18,State,Nagaland,1117,1022,1033,22,47,62.7,3172
19,State,Odisha,96033,108533,124956,457.9,272.9,75.5,329522
20,State,Punjab,44697,49870,46454,304,152.8,68.2,141021
21,State,Rajasthan,225306,193279,214552,795.7,269.6,51.5,633137
22,State,Sikkim,632,504,532,6.8,78.5,57,1668
23,State,Tamil Nadu,168116,891700,322852,764.8,422.1,63,1382668
24,State,Telangana,118338,135885,146131,377.7,386.9,80.8,400354
25,State,Tripura,5336,4010,4133,40.8,101.3,69.6,13479
26,State,Uttar Pradesh,353131,355110,357905,2317,154.5,75.5,1066146
27,State,Uttarakhand,12081,13812,15704,114.4,137.3,74.6,41597
28,State,West Bengal,157506,158060,157498,982.9,160.2,91.9,473064
29,UT,A&N Islands,564,482,386,4,96.3,88.2,1432
30,UT,Chandigarh,2819,2583,2401,12.1,198.1,67.7,7803
31,UT,D&N Haveli and Daman & Diu+,548,441,490,11.1,44.2,76.2,1479
32,UT,Delhi,299475,249192,291904,207,1410,31,840571
33,UT,Jammu & Kashmir*,22404,25233,27447,134.4,204.2,79.9,75084
34,UT,Ladakh @,-,387,519,3,174.2,89.5,906
35,UT,Lakshadweep,123,107,89,0.7,130.9,48.1,319
36,UT,Puducherry,3167,6725,3851,15.8,243.1,93,13743
